tempo,classe,triplas
0.7437238693237305,Acórdão,5
0.4745042324066162,Agente,5
4.20665717124939,Arma,8
4.935708999633789,Arquivo,12
0.5029735565185547,Ativa,9
0.7559504508972168,Atividade Econômica,9
0.46154308319091797,Bairro,4
2.5016777515411377,Baixa de Ofício,9
0.510249137878418,Baixada,9
1.4323899745941162,CEP do Logradouro,4
0.6190874576568604,Cancelada,8
0.5175113677978516,Caso da consistência,6
4.488342761993408,Caso da similaridade,8
4.066912651062012,Cidade | Município,7
2.2049403190612793,Classe CNAE,9
10.996962070465088,Combustível,5
1.9176411628723145,Compra Pública,7
21.113705158233643,Consumidor,13
8.19187617301941,Contador,16
1.9687650203704834,Contribuinte,6
1.6203622817993164,Contribuinte  Contribuinte SIMEI,6
1.9760675430297852,Contribuinte  Isento,6
0.43446850776672363,Contribuinte Extra Cadastro,6
1.5596141815185547,Contribuinte Geral,6
1.9439928531646729,Contribuinte ICMS,6
4.420900583267212,Contribuinte IPVA,6
3.56917667388916,Contribuinte Normal,6
0.6771633625030518,Contribuinte Substituto Tributário,6
1.8027117252349854,Contribuinte do Simples Nacional,6
0.6982142925262451,Divisão CNAE,9
3.634819984436035,Documento,100
0.5625624656677246,Documento Suplementar,6
1.9354918003082275,Emancipado,7
9.23312520980835,Empresa Holding,24
0.6452062129974365,Empresa | Organização | Pessoa Jurídica,9
5.36398983001709,Empresa | Organização | Pessoa Jurídica REDESIM,51
2.6606383323669434,Empresa | Organização | Pessoa Jurídica RFB,100
4.338172674179077,Empresa | Organização | Pessoa Jurídica SEFAZ,15
0.49889039993286133,Endereço,12
0.48581814765930176,Endereço C115,14
0.4846522808074951,Endereço C115 Comunicação,12
0.4681527614593506,Endereço C115 Energia,12
0.09006476402282715,Endereço C115 Telecomunicação,12
5.266439199447632,Endereço Cadastro da SEFAZ,15
0.7135148048400879,Endereço NFE,11
4.050427198410034,Endereço REDESIM,17
0.9661266803741455,Endereço RFB,13
0.44495368003845215,Ente Público,12
2.2888264656066895,Entidade Integrada,3
16.13859510421753,Estabelecimento,28
6.53971791267395,Estabelecimento REDESIM,21
0.5800845623016357,Estabelecimento RFB,18
10.05881953239441,Estabelecimento SEFAZ,28
0.9987168312072754,Evento Desabilitado,4
1.4788968563079834,Excluso / Removido do SIMPLES,13
0.4821343421936035,Fornecedor,10
0.4521949291229248,Fornecedor Inabilitado,8
0.5226097106933594,Fornecedor Inidôneo,6
0.48380231857299805,Fornecedor Pessoa Física,8
0.4625132083892822,Fornecedor Pessoa Jurídica,10
4.952852725982666,Fornecedor Restrito,8
3.482056140899658,Grupo,24
1.4044525623321533,Grupo CNAE,9
0.499021053314209,Imposto,4
0.8408629894256592,Inadimplente,7
0.439084529876709,Inadimplência,10
0.44187283515930176,Inapta,6
4.3459792137146,Infração,5
113.56539869308472,Item,6
1.8433020114898682,Localização | Local,15
0.4437594413757324,Logradouro,7
19.13150668144226,Medicamento,7
0.8943500518798828,Nacionalidade,2
0.5586130619049072,Natureza Legal | Natureza Jurídica,3
0.43221426010131836,Nula,6
10.265392780303955,Não Contribuinte,6
0.14914941787719727,Não optante pelo SIMPLES,13
0.5112321376800537,Obrigação,6
0.9690449237823486,Obrigação Legal,8
0.4904477596282959,Optante pelo SIMPLES,12
0.4184997081756592,Opção pelo regime SIMPLES,5
0.6051969528198242,Papel,10
0.44755005836486816,País,4
0.5719695091247559,Periodicidade,3
0.44080209732055664,Pessoa Física,13
8.596097707748413,Pessoa Física Cadastro SEFAZ,16
6.336243629455566,Pessoa Física REDESIM,16
0.06995224952697754,Pessoa Física RFB,13
1.0391428470611572,Porte da Empresa | Porte Empresarial | Porte,2
0.4846940040588379,Processo,15
18.794291734695435,Produto,7
0.6294069290161133,Protocolo,4
0.42923760414123535,Provedor,10
0.5781950950622559,Qualificação do Sócio ou Representante,3
0.5940718650817871,Razão | Motivo de Situação Cadastral,3
0.4524352550506592,Realização de Atividade Econômica,5
0.43394041061401367,Registro Desabilitado,5
4.937025785446167,Representante Legal,16
5.004380226135254,Representante Legal Físico,16
3.2182624340057373,Representante Legal Jurídico,24
0.4520692825317383,Sancionado,8
4.081627130508423,Sanção,12
0.609675407409668,Seção CNAE,8
0.8112108707427979,Situação Cadastral,7
0.15454554557800293,Situação Cadastral Cadastro da SEFAZ,9
0.6170315742492676,Situação Cadastral REDESIM,7
0.4057941436767578,Situação Cadastral RFB,5
0.7571709156036377,Situação Fiscal,5
0.4047355651855469,Situação especial,5
1.5472066402435303,Sociedade,11
0.5014064311981201,Sociedade Cadastro SEFAZ,12
0.9801077842712402,Sociedade REDESIM,11
0.4764692783355713,Sociedade RFB,9
0.9695889949798584,Sociedade com Pessoa Física,11
0.4922139644622803,Sociedade com Pessoa Jurídica,10
2.3213865756988525,Solicitação,11
0.910365104675293,Status da consistência,4
0.5764210224151611,Status de Envio,3
0.770749568939209,Status de similaridade,6
0.5932681560516357,Subclasse CNAE,16
0.39676547050476074,Suspensa,6
0.45633864402770996,Suspensa de Ofício,9
0.0669863224029541,Sócio,13
0.07760047912597656,Sócio Cadastro SEFAZ,10
0.42258644104003906,Sócio REDESIM,9
0.42395544052124023,Sócio RFB,7
0.5997912883758545,Tipo Ato,3
3.6987695693969727,Tipo de Contribuição,4
0.5890913009643555,Tipo de Propriedade,3
0.48917460441589355,Tipo de Regime Tributário,3
2.4752373695373535,Tipo do Estabelecimento,16
0.4602701663970947,Unidade Consumo,7
0.4808368682861328,Unidade Consumo Comunicação,9
0.4167294502258301,Unidade Consumo Elétrica,10
0.435344934463501,Unidade Consumo Telecomunicação,9
0.39987707138061523,Unidade Federativa | Estado,5
0.4236767292022705,Unidade Fiscal,4
5.67180609703064,Usuário,4
0.44215941429138184,Órgão,9
2.8631391525268555,Evento,51
